geo country;gamma (Weibull);beta (Weibull);r squared (Weibull);k (Import-Gaussian);mu (Import-Gaussian);sigma (Import-Gaussian);delta (Import-Gaussian);r squared (Weibull and Import-Gaussian);distribution
Austria;15,946593458940375;3,4006906600285234;0,9867715347725468;2,0;30,0;30,0;0,02659615202676218;0,9843483510483955;Weibull
Belgium;11,652832962639971;2,0;0,9694336803387275;2,0;30,0;30,0;0,02659615202676218;0,9647181405292732;Weibull
Switzerland;15,445087227441196;3,6061301060874063;0,9925588952524774;2,0;30,0;30,0;0,02659615202676218;0,9900148035747566;Weibull
Cyprus;25,001296186621165;6,0;0,562071079279125;12,021817540967929;14,841457775136345;5,6932538373319;0,8424025067906165;0,7991891746927942;WG
Czechia;25,478296968023056;6,0;0,5453624638879554;11,584516240899818;13,38351274961924;5,0;0,9243106652984013;0,8990746379323289;WG
Germany;14,81776802095016;2,39873993257314;0,9943183467315132;2,0;30,0;30,0;0,02659615202676218;0,9884574522713233;Weibull
Denmark;16,935501436597473;3,403172788951525;0,9369500153020837;2,0;30,0;30,0;0,02659615202676218;0,9313102090504224;Weibull
Spain;19,378738983502075;3,1624435607896295;0,968678886033501;2,0;30,0;19,863390794234185;0,04016859805398735;0,9717824839790394;Weibull
Estonia;32,790693350943314;6,0;0,20076946430664622;21,3551063544866;18,257411547726083;5,0;1,7038909654548022;0,7799598008148757;WG
Finland;24,935940744446864;3,2172640626253073;0,841947890687277;2,0;30,0;30,0;0,02659615202676218;0,8253326623939437;Weibull
France;15,152913380489238;6,0;0,9234898623636904;2,0;9,664557170127496;5,0;0,1595769121605731;0,9429480186642316;Weibull
Greece;34,0249563916973;4,015121094344927;0,5621418942999615;2,0;5,0;30,0;0,02659615202676218;0,5606646180743314;Weibull
Croatia;30,90876476053048;6,0;0,7842719447752131;6,0222725780638555;14,744564326272183;10,563692209785307;0,22743365745419025;0,8561218507752113;WG
Hungary;23,143124398003973;6,0;0,8248312536649902;3,597604337996014;12,091447152097293;6,719184449705686;0,21360278011791786;0,8642090714457249;WG
Ireland;15,043899011025706;6,0;0,891675258587997;4,384850638093433;5,0;5,0;0,34986046255613434;0,9643918810695645;WG
Iceland;19,684450105813106;6,0;0,5186011922173699;10,593163177253707;5,0;5,0;0,8452121349196161;0,7031855801016249;WG
Italy;19,646197300484925;2,7214287565317825;0,9667611090772592;2,0;5,0;30,0;0,02659615202676218;0,9641492826953634;Weibull
Liechtenstein;15,645807296148353;3,9475388289509357;0,9895526541672861;2,0;5,0;30,0;0,02659615202676218;0,9896678648635252;Weibull
Lithuania;30,672999016596393;6,0;-0,18193933231789705;78,67293956094296;13,950669516358698;5,0;6,277192382865335;0,8968970318348255;WG
Luxembourg;7,970088763619763;2,0;0,9732958484691958;2,0;5,0;30,0;0,02659615202676218;0,9760289097617777;Weibull
Latvia;30,874901423108124;6,0;-0,015180535230493009;51,530115484553875;16,482143228237923;5,0;4,111508356151421;0,8488425338368931;WG
Malta;31,212169197499918;6,0;0,23942633354579557;23,0528750058511;11,164925751579386;6,193682195240292;1,4848625155018353;0,878871050547471;WG
Netherlands;17,184225047763196;4,430055927515694;0,9953642187659202;2,0;30,0;30,0;0,02659615202676218;0,99459226969909;Weibull
Norway;19,76561459621561;6,0;0,9498836996384996;2,556807470378408;10,208263253155247;5,0;0,20400372055603613;0,9842711970011492;WG
Poland;35,12520427283057;6,0;-0,13195694936792113;47,820391232209566;18,508350965604453;6,743029113257975;2,8292293578202874;0,8393742136339906;WG
Portugal;23,12911217293149;6,0;0,9751565490708264;2,0;8,321974086570192;8,451415797520523;0,09440839025302114;0,9860417159446506;Weibull
Romania;28,445266233500146;6,0;0,39154565596810187;16,915397031850087;15,178150748212628;6,411385201991121;1,0525443181430056;0,7133332977147422;WG
Slovakia;21,721434494090346;6,0;0,6130206673405252;13,483514128336203;10,895753209622086;5,77008515369035;0,9322468786692106;0,896187226732471;WG
Slovenia;19,98199043789374;6,0;0,898805537894564;2,0;30,0;30,0;0,02659615202676218;0,8900383684222803;Weibull
Sweden;19,443373812607046;4,878785666617388;0,8897539948878361;2,0;30,0;30,0;0,02659615202676218;0,8779954363066516;Weibull
United Kingdom;14,238839076583874;3,9657578645986424;0,994330576600599;2,0;30,0;30,0;0,02659615202676218;0,988738230288226;Weibull
